144,Woody van Amen,34,2,1936,NULL
145,Gregory Amenoff,4,2,1948,NULL
148,Florencia de Amesti,23,1,1925,2006
149,Cuno Amiet,107,2,1868,1961
150,Francisco Amighetti Ruiz,27,2,1907,1998
152,Ralph Ammirati,4,2,NULL,NULL
153,Emma Amos,4,1,1937,NULL
154,Mauricio Amster Cats,23,2,1907,1980
155,William Anastasi,4,2,1933,NULL
157,Stephen Ancona,4,2,1932,NULL
158,Jiþi Anderle,31,2,1936,NULL
159,Gunnar Aagaard Andersen,33,2,1919,1982
160,Karin Schou Andersen,33,1,1953,NULL
161,Clarence William Anderson,4,2,1891,1971
162,Carl Anderson,4,2,1903,1989
163,Dennis Anderson,4,2,1948,NULL
164,Jeremy Anderson,4,2,1921,1982
165,James Anderson,15,2,1813,1877
166,Jerry Anderson,4,2,1938,NULL
167,John Anderson,15,2,1928,NULL
168,Neil Anderson,4,2,1933,NULL
169,Paul L. Anderson,4,2,1880,1956
170,Monika Andersson,106,1,1957,NULL
172,Joe Andoe,4,2,1955,NULL
173,Farnese de Andrade-Neto,14,2,1926,1996
174,Carl Andre,4,2,1935,NULL
175,Pat Andrea,34,2,1942,NULL
176,A. Andreas,43,NULL,NULL,NULL
177,Henning Andreasen,33,2,1923,NULL
178,Laura Andreson,4,1,1902,1999
179,Mariano Andreù,104,2,1888,1976
180,Benny Andrews,4,2,1930,2006
181,Emmy Andriesse,34,1,1914,1953
182,Claudia Andujar,4,1,1931,NULL
183,Manuel Angeles Ortiz,104,2,1895,1984
184,Ludwig Angerer,8,2,1827,1879
185,Bruce Angrave,15,2,NULL,NULL
186,Raúl Anguiano,75,2,1915,2006
188,Sibyl Anikeef,4,1,1896,1996
189,James Craig Annan,15,2,1864,1946
190,Thomas Annan,15,2,1829,1887
193,David Annesley,15,2,1936,NULL
194,Horst Antes,45,2,1936,NULL
195,William Anthony,4,2,1934,NULL
196,Stephen Antonakos,4,2,1926,2013
198,Garo Antreasian,4,2,1922,NULL
199,Nemesio Antúnez,23,2,1918,1993
200,Richard Anuszkiewicz,4,2,1930,NULL
201,Aoki Toshio,NULL,NULL,NULL,NULL
202,Carl Apfelschnitt,4,2,1948,NULL
203,Karel Appel,34,2,1921,2006
204,Leon Appelbaum,4,2,NULL,NULL
205,Ida Applebroog,4,1,1929,NULL
207,Shusaku Arakawa,4,2,1936,2010
208,Diane Arbus,4,1,1923,1971
209,Aleksandr Archipenko,4,2,1887,1964
211,Mordecai Ardon,58,2,1896,1992
212,Luis Arenal,75,2,1909,1985
214,Egmont Arens,4,2,1888,1966
215,Tamotsu Arikawa,61,2,NULL,NULL
216,Avigdor Arikha,92,2,1929,2010
217,Gonzalo Ariza,25,2,1912,1995
218,Alda Maria Armagni,6,1,NULL,NULL
219,Siah Armajani,4,2,1939,NULL
220,Arman,4,2,1928,2005
221,Armando,34,2,1929,NULL
222,F. Armbruster,NULL,NULL,NULL,NULL
224,Kenneth Armitage,15,2,1916,2002
225,John Taylor Arms,4,2,1887,1953
226,John Armstrong,15,2,1893,1973
227,François Arnal,43,2,1924,2012
228,Arndt,45,NULL,1898,1976
229,Eugène Atget,43,2,1857,1927
230,John Atherton,4,2,1900,1952
231,Anna Atkins,15,1,1797,1871
232,Conrad Atkinson,15,2,1940,NULL
233,Lawrence Atkinson,15,2,1873,1931
234,Terry Atkinson,15,2,1939,NULL
235,Jean-Michel Atlan,43,2,1913,1960
236,Dotty Attie,4,1,1938,NULL
238,Carl Auböck,8,2,1924,1993
239,Charles Aubry,43,2,1811,1877
240,Frank Auerbach,15,2,1931,NULL
241,Gae Aulenti,59,1,1930,2012
242,Keith James Aulik,NULL,2,NULL,NULL
243,George Ault,4,2,1891,1948
244,Darrel Austin,4,2,1907,1994
245,Irving Austin,4,2,NULL,NULL
246,Mario Avati,59,2,1921,2009
247,Edward Avedisian,4,2,1936,2007
248,Richard Avedon,4,2,1923,2004
249,Frances Avery,4,1,1910,2006
250,Milton Avery,4,2,1885,1965
251,David Avison,4,2,NULL,NULL
252,Mordechai Avniel,58,2,NULL,NULL
254,Kiyoshi Awazu,61,2,1929,2009
255,Ay-O,61,2,1931,NULL
256,Alice Aycock,4,1,1946,NULL
257,Pierre Ayot,20,2,1943,1995
258,Michael Ayrton,15,2,1921,1975
259,Luis Cruz Azaceta,4,2,1942,NULL
260,Umetaro Azechi,61,2,1902,1999
261,Kengiro Azuma,61,2,1926,NULL
262,Johannes Baader,45,2,1875,1955
263,Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald),45,2,1892,1927
264,Kurt W. Baasch,4,2,1891,1964
265,Alice Baber,4,1,1928,1982
266,Bacard Fils,43,2,NULL,NULL
268,Edmondo Bacci,59,2,1913,1978
269,Elvira Bach,45,1,1951,NULL
270,Olof Backman,106,2,1899,NULL
271,Olof Backstrom,42,2,1922,NULL
272,Francis Bacon,15,2,1909,1992
273,Peggy Bacon,4,1,1895,1987
275,Karl Baden,4,2,1952,NULL
276,Mowry Thatcher Baden,4,2,1936,NULL
277,Aquiles Badi,6,2,1894,1976
278,Libero Badii,6,2,1916,2001
279,Frank Badur,45,2,1944,NULL
280,Donald Baechler,4,2,1956,NULL
281,Jo Baer,4,1,1929,NULL
282,Martin Baer,4,2,1894,1961
283,Olle Baertling,106,2,1911,1981
284,Myrna Báez,4,1,1931,NULL
285,John Bageris,4,2,1924,2000
286,Heinz Bahr,45,2,1934,NULL
287,Malcolm Bailey,4,2,1947,2011
288,Oscar Bailey,4,2,1925,NULL
289,William Bailey,4,2,1930,NULL
290,Larry Bair,4,2,1952,1990
291,Eugenie Baizerman,4,1,1899,1949
292,Enrico Baj,59,2,1924,2003
293,E. Bakalowitz Söhne,8,NULL,1845,NULL
294,Carl Baker,4,2,NULL,NULL
296,Mikal Baker,4,2,1946,NULL
298,Vagrich Bakhchanyan,93,2,1938,2009
299,Gerhard H. Bakker,4,2,NULL,NULL
300,Léon Bakst,93,2,1866,1924
301,Gerard Baksteen,34,2,1887,1976
302,Amèrico Balán,6,2,1915,1986
303,Jirí Balcar,31,2,1929,1968
304,John Baldessari,4,2,1931,NULL
305,George Baldessin,7,2,1939,1978
307,C. Leroy Baldridge,4,2,1889,1975
308,Édouard-Denis Baldus,43,2,1813,1882
309,Benjamin Baldwin,4,2,1913,1993
310,Joost Baljeu,34,2,1925,1991
311,Giacomo Balla,59,2,1871,1958
313,R. Maxil Ballinger,4,2,1914,1958
314,Theo H. Ballmer,107,2,1902,1965
315,Alexander Bally,4,2,1938,NULL
316,John F. Balossi,4,2,1931,2007
317,Balthus (Baltusz Klossowski de Rola),43,2,1908,2001
318,Lewis Baltz,4,2,1945,2014
319,Thomas Bamberger,4,2,1948,NULL
320,McDonald (Mackey Jeffries) Bane,4,1,1928,NULL
321,Colette Bangert,4,1,1934,NULL
322,Walter Darby Bannard,4,2,1934,2016
323,John Banting,15,2,1902,1972
324,Rudolf Baranik,4,2,1920,1998
325,Vladimir Baranoff-Rossiné,116,2,1888,1944
327,Anthony Barboza,4,2,1944,NULL
329,Miquel Barcelo,104,2,1957,NULL
330,Peter Bardazzi,4,2,1943,NULL
331,J. Baric,43,2,1825,1905
332,Richard Baringer,4,2,1921,1980
333,George Barker,7,2,1942,NULL
334,Walter William Barker,4,2,1921,2004
335,Ernst Barlach,45,2,1870,1938
336,George Barnard,4,2,1819,1902
337,Cyril H. Barnes,4,2,NULL,NULL
338,Matthew Rackham Barnes,4,2,1880,1951
339,Robert Barnes,4,2,1934,NULL
342,Will Barnet,4,2,1911,2012
343,Tina Barney,4,1,1945,NULL
344,Hannelore Baron,4,1,1926,1987
345,Martin Barooshian,4,2,1929,NULL
347,Steve Barraclough,15,2,NULL,NULL
348,Maurice Barraud,107,2,1889,1955
349,Susan Barron,4,1,1947,NULL
350,Thomas F. Barrow,4,2,1938,NULL
351,D. F. Barry,4,2,1854,1934
352,Robert Barry,4,2,1936,NULL
353,Robert Bart,4,2,1923,NULL
354,Frances Barth,4,1,1946,NULL
355,Ruodi Barth,107,2,1921,1999
356,"Ralph Bartholomew, Jr.",4,2,1907,1985
357,Jennifer Bartlett,4,1,1941,NULL
358,Robert Bartlett,15,2,1922,1979
359,Carlo Bartoli,59,2,1931,NULL
360,Luigi Bartolini,59,2,1892,1963
361,Joseph Bartscherer,4,2,1954,NULL
362,Gianfranco Baruchello,59,2,1924,NULL
363,Héctor Basaldua,6,2,1895,1976
364,Bernard Baschet,43,2,1917,2015
365,François Baschet,43,2,1920,2014
366,Georg Baselitz,45,2,1938,NULL
368,Mati Basis,58,2,1933,NULL
369,Leonard Baskin,4,2,1922,2000
370,Jean-Michel Basquiat,4,2,1960,1988
371,Joel Bass,4,2,1943,NULL
372,Saul Bass,4,2,1920,1996
373,Giampiero Bassi,59,NULL,1926,NULL
374,Miriam Bat-Yosef,45,1,1931,NULL
375,Georges Bataille,43,2,1897,1962
377,Josef Bato,51,2,1888,1966
378,John Battan,4,2,1943,1976
379,Wall Batterton,15,2,1932,NULL
380,Dora M. Batty,15,1,1900,1966
381,Eugen Batz,45,2,1905,1986
382,"Harry W. Batz, Jr.",4,2,NULL,NULL
383,André Bauchant,43,2,1873,1958
384,Karl Bauer,45,2,1868,1942
385,Rudolph Bauer,4,2,1889,1954
386,Mary Bauermeister,4,1,1934,NULL
387,Bauhaus,45,NULL,NULL,NULL
388,Marilyn Baum,4,1,1939,NULL
390,Hans Theo Baumann,45,2,1924,NULL
391,Otto Baumberger,107,2,1889,1961
392,Willi Baumeister,45,2,1889,1955
393,Lothar Baumgarten,45,2,1944,NULL
395,Edward Bawden,15,2,1903,1989
396,Glen Baxter,15,2,NULL,NULL
397,Iain Baxter&,20,2,1936,NULL
398,Hippolyte Bayard,43,2,1801,1887
399,Herbert Bayer,4,2,1900,1985
401,Ed Baynard,4,2,1940,NULL
402,Thomas Bayrle,45,2,1937,NULL
403,Douglas Baz,4,2,1943,NULL
404,Jean Bazaine,43,2,1904,2001
405,Castera Bazile,50,2,1923,1966
406,William Baziotes,4,2,1912,1963
407,Gifford Beal,4,2,1879,1956
408,Jack Beal,4,2,1931,2013
409,Lester Beall,4,2,1903,1969
411,Mark Beard,4,2,1956,NULL
412,Romare Bearden,4,2,1911,1988
413,Aubrey Beardsley,15,2,1872,1898
414,Bruce Beasley,4,2,1939,NULL
415,Beath,15,NULL,1913,1991
416,Felice Beato,59,2,1825,1903
417,Cecil Beaton,15,2,1904,1980
418,Leslie Beaton,4,1,NULL,NULL
419,Robert Beauchamp,4,2,1923,1995
420,André Beaudin,43,2,1895,1975
421,Alessandro Becchi,59,2,1946,NULL
422,Bernd Becher,45,2,1931,2007
423,Thelma Becherer,4,1,1916,2008
424,Robert Bechtle,4,2,1932,NULL
425,Gustav K. Beck,8,2,1902,1983
426,A. Becker,45,NULL,NULL,NULL
427,Fred Becker,4,2,1913,2004
428,Bill Beckley,4,2,1946,NULL
429,Max Beckmann,45,2,1884,1950
430,Francis Bedford,15,2,1816,1894
431,René Beeh,45,2,1886,1922
432,Jan Bontjes van Beek,45,2,1899,1969
433,Chris Hendrik Beekman,34,2,1887,1964
434,Max Beerbohm,15,2,1872,1956
436,Hedda Beese,45,1,1944,NULL
437,"Beggarstaffs (James Pryde, Scottish 1866-1941 & William Nicholson, British 1872-1949)",15,NULL,1866,1949
438,Peter Behrens,45,2,1868,1940
439,Edith Behring,14,1,1916,1996
440,John Behringer,4,2,1939,NULL
441,J. J. Beljon,34,2,1922,2002
442,Alistair Macready Bell,20,2,1913,1997
443,Charles M. Bell,4,2,1848,1893
444,Larry Bell,4,2,1939,NULL
445,Vanessa Bell,15,1,1879,1961
446,William H. Bell,4,2,1830,1910
447,Ross Bellah,4,2,1907,2004
448,Joseph Bellanca,4,2,1930,NULL
449,John Bellany,15,2,1942,2013
450,Rudolf Belling,45,2,1886,1972
451,Mario Bellini,59,2,1935,NULL
452,Hans Bellmer,45,2,1902,1975
453,Ernest J. Bellocq,4,2,1873,1949
455,George Bellows,4,2,1882,1925
456,Rossella Bellusci,59,1,1947,NULL
457,Giandomenico Belotti,59,2,1922,NULL
458,Christian Belpaire,26,2,1949,NULL
459,Antoli Pawlowitsch Belski,93,2,1896,1971
461,David Ben Shaul,58,2,NULL,NULL
462,Ahron Ben-Shmuel,4,2,1903,1984
463,Ben-Zion,4,2,1897,1987
464,Adolf Benca,4,2,1959,NULL
465,W. T. Benda,4,2,1873,1948
466,C. Whitney Bender,4,NULL,1929,NULL
467,Niels Sylvester Bendtsen,33,2,1943,NULL
468,Nair Benedicto,14,1,1940,NULL
469,Luis Fernando Benedit,6,2,1937,2011
470,G. A. Beneker,4,2,1882,1934
471,Lynda Benglis,4,1,1941,NULL
472,Billy Al Bengston,4,2,1934,NULL
473,Jim Bengston,4,2,1942,NULL
474,Anthony Benjamin,15,2,NULL,NULL
475,Gordon Bennett,4,2,1933,2012
476,Henry Hamilton Bennett,4,2,1843,1908
478,Ward Bennett,4,2,1917,2003
479,Alexander Benois,93,2,1870,1960
481,David Bentley,4,2,1938,NULL
482,Nicholas Bentley,15,2,1907,1978
483,Thomas Hart Benton,4,2,1889,1975
484,Roloff Beny,20,2,1924,1984
485,Etienne (Istvan) Béothy,51,2,1897,1962
486,Christian Bérard,43,2,1902,1949
487,Roberto Berdecio,12,2,1913,1996
488,Vera Berdich,4,1,1915,2003
489,Ed Bereal,4,2,1937,NULL
490,Stephen Lynn Berens,4,2,1952,NULL
491,Berger (?),15,NULL,1938,NULL
492,Charles Berger,4,2,1943,NULL
493,Jason Berger,4,2,1924,2010
495,Hagbard Elis Bergh,106,2,1881,1954
496,Håkan Bergkvist,106,2,1946,NULL
497,Ella Bergmann-Michel,45,1,1896,1971
498,Paul Bergtold,4,2,1942,NULL
501,Henryk Berlewi,89,2,1894,1967
502,Eugene Berman,4,2,1899,1972
503,Mieczyslaw Berman,89,2,1903,1975
504,Sarah Berman,4,1,1895,1957
505,Wallace Berman,4,2,1926,1976
506,Zeke Berman,4,2,1951,NULL
507,Cundo Bermúdez,29,2,1914,2008
508,José Ygnacio Bermudez,29,2,1922,1988
509,Thoni Bern,107,NULL,NULL,NULL
510,Camille Bernabé,43,2,1808,1900
511,Émile Bernard,43,2,1868,1941
512,Francis Bernard,43,2,1900,1979
513,Valère Bernard,43,2,1860,1936
514,Jerry Berndt,4,2,1943,2013
515,Lucian Bernhard,4,2,1883,1972
516,Ruth Bernhard,4,1,1905,2006
517,Antonio Berni,6,2,1905,1981
518,Janez Bernik,122,2,1933,2016
519,Judith Bernstein,4,1,1942,NULL
520,Richard Bernstein,4,2,1939,2002
521,Jean Berque,43,2,1896,1954
522,Miguel Ortiz Berrocal,104,2,1933,2006
523,Bertall & Cie.,43,NULL,NULL,NULL
524,M. Berthaud,43,NULL,NULL,NULL
525,Palme Berthold,NULL,NULL,NULL,NULL
526,Berthold-Mahn (Charles Désiré),43,2,1893,1975
527,René Bertholo,90,2,1935,2005
528,Paul Berthon,43,2,1872,1909
529,Jake Berthot,4,2,1939,2014
530,Gianni Bertini,59,2,1922,NULL
531,Harry Bertoia,4,2,1915,1978
532,Emilio Bertonati,59,2,NULL,NULL
533,Albert Besnard,43,2,1849,1934
534,Forrest Bess,4,2,1911,1977
535,Ruth Bessoudo Courvoisier,14,1,1924,NULL
536,Alan Randall Best,20,2,1958,NULL
537,William Betsch,4,2,NULL,NULL
538,Pierre Betz,43,2,1899,1969
539,Wim Beuning,34,2,1914,1986
540,Joseph Beuys,45,2,1921,1986
541,Art Bevacqua,NULL,2,NULL,NULL
542,Thomas Bewick,15,2,1753,1828
544,Jyoti Bhatt,53,2,1934,NULL
545,Domenico Bianchi,59,2,1955,NULL
546,Pamela Bianco,4,1,1906,1994
547,Fulvio Bianconi,59,2,1915,1996
548,Carl Bianga,45,2,NULL,NULL
549,Alberto Biasi,59,2,1937,NULL
550,Guido Biasi,59,2,1933,NULL
551,Ashley Bickerton,15,2,1959,NULL
553,George Biddle,4,2,1885,1973
554,Charles Biederman,4,2,1906,2004
555,James Biederman,4,2,1947,NULL
556,Aenne Biermann,45,1,1898,1933
557,Wilson Bigaud,50,2,1931,2010
559,Max Bill,107,2,1908,1994
560,Joseph Binder,4,2,1898,1972
561,Ilse Bing,4,1,1899,1998
562,Robert J. Bingham,15,2,1824,1870
563,Manfred Bingler,107,2,1928,NULL
564,Peter Birkhauser,107,2,1911,1976
565,Robert Birmelin,4,2,1933,NULL
566,Werner Bischof,107,2,1916,1954
567,Elmer Bischoff,4,2,1916,1991
